City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,ghat,24.9647,10.1728,26.17,37,62,2.01,LY,1715034287
243,susuman,62.7833,148.1667,-2.79,86,25,0.45,RU,1715034289
244,imbituba,-28.24,-48.6703,25.48,83,0,4.68,BR,1715034291
245,kuraymah,18.55,31.85,28.21,17,0,6.49,SD,1715034293
246,kolonia,50.9333,6.95,13.87,93,75,2.57,DE,1715033999
247,konarka,19.9,86.1167,26.2,83,43,8.21,IN,1715034297
248,al mijlad,11.0333,27.7333,31.14,9,2,4.91,SD,1715034299
249,isafjordur,66.0755,-23.124,2.76,74,100,3.91,IS,1715034207
250,saint-joseph,-21.3667,55.6167,22.21,80,24,6.29,RE,1715034304
251,bedesa,8.9,40.7833,18.21,71,36,0.58,ET,1715034306
252,aktau,43.65,51.2,11.32,57,100,6.72,KZ,1715034308
253,sola,-13.8833,167.55,26.93,78,97,10.73,VU,1715034310
254,bocana de paiwas,12.7857,-85.1227,36.77,30,99,5.15,NI,1715034312
255,miyako,39.6367,141.9525,15.87,85,100,2.46,JP,1715034314
256,kermanshah,34.3142,47.065,9.33,91,100,3.9,IR,1715034317
257,lubang,13.8584,120.124,28.56,76,12,6.31,PH,1715034319
258,fort st. john,56.2499,-120.8529,14.94,31,75,6.69,CA,1715034321
259,ibshaway,29.358,30.6814,18.61,55,10,5.48,EG,1715034323
260,pangody,65.85,74.4859,-15.31,98,26,2.65,RU,1715034211
261,harstad,68.799,16.5293,1.56,89,52,7.6,NO,1715034235
262,colonia,50.9333,6.95,13.87,93,75,2.57,DE,1715034086
263,luwingu,-10.2621,29.9271,16.39,96,19,2.06,ZM,1715034331
264,badger,64.8,-147.5333,1.31,90,100,3.6,US,1715034333
265,saint-mandrier-sur-mer,43.078,5.929,15.85,85,0,0.0,FR,1715034336
266,margate,51.3813,1.3862,11.84,94,71,2.22,GB,1715034338
267,thunder bay,48.4001,-89.3168,16.95,36,100,5.14,CA,1715034340
